Date,Adj Close,Close,High,Low,Open,Volume
2018-01-23,930100.0,930100.0,962200.0,930000.0,962200.0,0
2018-01-24,934440.0,934440.0,953400.0,903620.0,917600.0,1
2018-01-25,934000.0,934000.0,942600.0,905000.0,916200.0,1
2018-01-26,865760.0,865760.0,917360.0,858800.0,904200.0,1
2018-01-29,840000.0,840000.0,874400.0,840000.0,872960.0,1
2018-01-30,867000.0,867000.0,892400.0,852800.0,891000.0,1
2018-01-31,855980.0,855980.0,858260.0,831000.0,839600.0,1
2018-02-01,852400.0,852400.0,893400.0,840000.0,893400.0,1
2018-02-02,930020.0,930020.0,932600.0,873740.0,892600.0,1
2018-02-05,1046000.0,1046000.0,1046000.0,917360.0,981800.0,3
2018-02-06,960400.0,960400.0,1155400.0,959800.0,1070000.0,2
2018-02-07,965600.0,965600.0,979200.0,923320.0,958000.0,1
2018-02-08,1062700.0,1062700.0,1062700.0,857400.0,964000.0,2
2018-02-09,1017580.0,1017580.0,1120000.0,985000.0,990000.0,2
2018-02-12,960600.0,960600.0,1010000.0,952740.0,952740.0,0
2018-02-13,909780.0,909780.0,977600.0,902300.0,977600.0,1
2018-02-14,835200.0,835200.0,885000.0,834000.0,885000.0,1
2018-02-15,787800.0,787800.0,839180.0,787800.0,812600.0,1
2018-02-16,801960.0,801960.0,812580.0,786700.0,797800.0,1
2018-02-20,800000.0,800000.0,816200.0,768400.0,816200.0,1
2018-02-21,784000.0,784000.0,784000.0,742020.0,780000.0,1
2018-02-22,789360.0,789360.0,820000.0,768600.0,820000.0,0
2018-02-23,749020.0,749020.0,776000.0,748460.0,776000.0,1
2018-02-26,726600.0,726600.0,765600.0,726200.0,740000.0,0
2018-02-27,755000.0,755000.0,756400.0,726000.0,726680.0,1
2018-02-28,765600.0,765600.0,765600.0,740700.0,740700.0,0
2018-03-01,802600.0,802600.0,831200.0,765000.0,776000.0,1
2018-03-02,780000.0,780000.0,860000.0,770700.0,837000.0,1
2018-03-05,726600.0,726600.0,794780.0,726400.0,794780.0,0
2018-03-06,707400.0,707400.0,724100.0,701520.0,718800.0,1
2018-03-07,694400.0,694400.0,726200.0,692840.0,723320.0,1
2018-03-08,705000.0,705000.0,709780.0,686000.0,686000.0,0
2018-03-09,663200.0,663200.0,712200.0,663200.0,712200.0,1
2018-03-12,642560.0,642560.0,650200.0,637760.0,648400.0,0
2018-03-13,685000.0,685000.0,688620.0,637800.0,637800.0,2
2018-03-14,660000.0,660000.0,673200.0,647000.0,673200.0,2
2018-03-15,652020.0,652020.0,667520.0,645360.0,651240.0,0
2018-03-16,663100.0,663100.0,669800.0,661400.0,666980.0,0
2018-03-19,720000.0,720000.0,737600.0,689000.0,699800.0,2
2018-03-20,732800.0,732800.0,750100.0,707220.0,734200.0,1
2018-03-21,733000.0,733000.0,741100.0,710400.0,741100.0,0
