Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,39896.66796875,51025.0,53400.0,50950.0,53025.0,2717
2018-01-03,38723.80078125,49525.0,50850.0,49400.0,50850.0,2606
2018-01-04,38528.33984375,49275.0,49450.0,48800.0,48975.0,1808
2018-01-05,37375.0234375,47800.0,48850.0,47675.0,48575.0,2720
2018-01-08,36944.97265625,47250.0,47825.0,47150.0,47775.0,1370
2018-01-09,36925.4296875,47225.0,47650.0,46800.0,46950.0,2237
2018-01-10,37199.09375,47575.0,48475.0,47525.0,47875.0,2614
2018-01-11,36436.7421875,46600.0,47525.0,46600.0,47300.0,1964
2018-01-12,35674.37890625,45625.0,46875.0,45425.0,46750.0,2170
2018-01-16,35948.0546875,45975.0,46375.0,43975.0,44675.0,4346
2018-01-17,34814.296875,44525.0,46000.0,44275.0,45400.0,3276
2018-01-18,34775.19921875,44475.0,45025.0,44175.0,44700.0,2776
2018-01-19,34462.44140625,44075.0,44725.0,43875.0,44100.0,2261
2018-01-22,33367.765625,42675.0,44250.0,42675.0,44100.0,2320
2018-01-23,32546.775390625,41625.0,42325.0,41500.0,42275.0,2441
2018-01-24,33172.29296875,42425.0,43125.0,41075.0,41400.0,4987
2018-01-25,33230.9296875,42500.0,42900.0,41525.0,41575.0,3561
2018-01-26,31764.857421875,40625.0,42050.0,40600.0,41775.0,3285
2018-01-29,32194.9140625,41175.0,41400.0,40550.0,40825.0,3334
2018-01-30,32937.72265625,42125.0,42800.0,41625.0,42300.0,4591
2018-01-31,32605.419921875,41700.0,42450.0,41200.0,41475.0,3741
2018-02-01,33406.86328125,42725.0,43125.0,41425.0,42600.0,3605
2018-02-02,35381.16796875,45250.0,45350.0,42950.0,43225.0,6662
2018-02-05,39486.17578125,50500.0,50700.0,44325.0,46525.0,11642
2018-02-06,36436.7421875,46600.0,53475.0,46425.0,52775.0,11705
2018-02-07,37805.078125,48350.0,48425.0,45575.0,47050.0,6136
2018-02-08,42555.14453125,54425.0,54550.0,47900.0,47950.0,10847
2018-02-09,40522.1953125,51825.0,58150.0,50575.0,52250.0,14134
2018-02-12,38274.22265625,48950.0,51425.0,47975.0,50250.0,9880
2018-02-13,37785.53515625,48325.0,50075.0,47975.0,49875.0,4152
2018-02-14,35557.1015625,45475.0,49200.0,45350.0,49100.0,6739
2018-02-15,33758.71875,43175.0,45800.0,43125.0,44375.0,6133
2018-02-16,34051.9296875,43550.0,43875.0,42250.0,43500.0,6737
2018-02-20,33973.7421875,43450.0,44175.0,42300.0,44125.0,5700
2018-02-21,34247.41015625,43800.0,43800.0,41500.0,42825.0,6140
2018-02-22,34188.76953125,43725.0,44125.0,42525.0,43175.0,6797
2018-02-23,32175.373046875,41150.0,43300.0,41150.0,42775.0,5841
2018-02-26,30924.314453125,39550.0,40650.0,39525.0,40550.0,4722
2018-02-27,32058.07421875,41000.0,41000.0,39275.0,39500.0,7224
2018-02-28,32664.05859375,41775.0,41800.0,39850.0,40275.0,6539
2018-03-01,34227.86328125,43775.0,44925.0,41125.0,41675.0,11716
2018-03-02,33328.671875,42625.0,45850.0,42400.0,45325.0,8692
2018-03-05,32273.103515625,41275.0,43700.0,40875.0,43225.0,5877
2018-03-06,31843.0546875,40725.0,41500.0,40275.0,40675.0,5892
2018-03-07,31608.482421875,40425.0,41850.0,40300.0,41625.0,6102
2018-03-08,31119.798828125,39800.0,40425.0,39675.0,39975.0,4301
2018-03-09,29360.505859375,37550.0,39125.0,37525.0,38950.0,4745
2018-03-12,28930.466796875,37000.0,37400.0,36600.0,37150.0,4816
2018-03-13,29986.03515625,38350.0,38675.0,36600.0,37150.0,8403
2018-03-14,30044.666015625,38425.0,38900.0,37700.0,37775.0,6715
2018-03-15,30161.966796875,38575.0,38950.0,37850.0,38300.0,4784
2018-03-16,30376.984375,38850.0,38925.0,38075.0,38375.0,3693
2018-03-19,32292.6484375,41300.0,42350.0,39950.0,39950.0,9407
2018-03-20,32058.07421875,41000.0,41725.0,40675.0,41300.0,5138
2018-03-21,32479.251953125,41450.0,41950.0,40075.0,41225.0,5782
2018-03-22,34869.15625,44500.0,44625.0,42275.0,43050.0,11013
2018-03-23,37631.2734375,48025.0,48100.0,44275.0,44600.0,10318
2018-03-26,33439.1328125,42675.0,47475.0,42500.0,45175.0,10549
2018-03-27,36690.9765625,46825.0,47900.0,41725.0,41750.0,10440
2018-03-28,37925.11328125,48400.0,49525.0,46200.0,47575.0,14041
2018-03-29,35907.39453125,45825.0,49050.0,44375.0,47625.0,9968
